Text,Label
Amazon to create 500 new jobs in Mississippi as it builds new fulfillment center,positive
"GE's stock rises 1% premarket, set to trade above $13 for 1st time in regular-session hours since October 2018",positive
"CN Rail Strike Begins, Threatening Canada Oil, Grain Shipments",negative
"Hong Kong Airlines to cut 400 jobs, ask employees to take unpaid leave: SCMP",negative
"3 Top-Performing Mutual Funds to Consider for Your Retirement Portfolio- February 07, 2020",neutral
XAU/USD Bullish ABC Pattern Aims at $1500 Resistance,positive
CA$10.60 - That's What Analysts Think Vecima Networks Inc. Is Worth After These Results,neutral
The Fed moved to bolster a new small-business lending program by allowing banks to turn those loans over to the U.S… https://t.co/Y2piO9HcrP,neutral
Democrat's New Taxes Wouldn't Hit Just Billionaires,neutral
"Is ABM Industries, Inc. (ABM) A Good Stock To Buy?",neutral
U.S. Stocks Gain on Trade-Talks Optimism #SP500 #index #MarketScreener https://t.co/H4xQHsFFJj https://t.co/C3dmOriz8O,positive
"""Things are normalizing"": ETF market action is ""encouraging"" despite economic worries, investor says. (via… https://t.co/NBVbsSAg84",positive
JPMorgan likes Bausch Health in premarket analyst action,positive
Coty to take a 51% stake in Kylie Cosmetics for $600 million,neutral
"That's a wrap folks. Friday, last week of Jan and the month are in the can.",neutral
How Trump's trade war is hurting swing states,neutral
Stock Market Update: Gold Grabs Fourth-Straight Advance,positive
Edited Transcript of FCR.TO earnings conference call or presentation 6-Nov-19 7:00pm GMT,neutral
US$51.00 - That's What Analysts Think Grubhub Inc. Is Worth After These Results,neutral
$WIRES: On The Wires https://t.co/YCPFH1bJ6E,neutral
Chinese state media stepped up criticism of the U.S. and accused it of meddling in China’s domestic affairs https://t.co/Cku7hCRv2j,neutral
"Are You Invested In These 3 Mutual Fund Misfires? - February 06, 2020",neutral
This Biotech Deal Is a $10 Billion Leap of Faith,neutral
"$HDS $AQST $AGIO - HDS, AQST, LTHM and SSI among after-hours movers https://t.co/XU5Ta7QMgk",neutral
GoPro's share price has had a ride as turbulent as some of the heart-stopping stunt videos the camera is responsibl… https://t.co/gdiJt50HGK,negative
Eyes on $EARS for the coming week !!,neutral
Luckin Coffee stock sinks after anonymous report alleges fraud https://t.co/elHwFb5IXA,negative
Allergan Reports Fourth-Quarter 2019 Results That Plow Past Expectations,positive
"$BIIB - Questions Linger After CTAD For Biogen's Aducanumab, But Trading Opportunities Exist. Follow this and any o… https://t.co/gNTMKMWrzT",neutral
Oil prices fall but hold near three-month high on trade deal agreement,negative
Has the Job Market Cooled Off?,neutral
"Tata Steel plans to cut up to 3,000 European jobs",neutral
U.S. grants Huawei 90-day extension of business license,positive
Personal Assets Trust : Issue of Equity #PersonalAssetsTrust #Stock #MarketScreener https://t.co/YVEU1Yn7qp https://t.co/T8cTQ8XMba,neutral
Is Tilray (NASDAQ:TLRY) Using Too Much Debt?,neutral
Trump: Here's My New Plan For Your Student Loans,neutral
Is Orthofix International NV (OFIX) Going to Burn These Hedge Funds?,neutral
Samenvatting: Transphorm’s GaN gebruikt de nieuwste Power Supplies van AES voor grote passagiersvliegtuigen,neutral
Ocean impact investment fund reaches $92m second close,neutral
Fantasia : FURTHER INFORMATION IN RELATION TO THE CO-OPERATION AGREEMENT WITH SHENGYUAN  #Stock #MarketScreener… https://t.co/NkBhcbaRvs,neutral
Apple to Dodge $150-Per-IPhone Levy If Trump Delays Tariffs,neutral
Elastic +3.7% as Canaccord turns bullish,positive
Does this 'disgruntled boomer' really have to leave an inheritance? Here's what The Moneyist thinks. https://t.co/HTJeraUaDu,neutral
"Tapestry EPS beats by $0.11, beats on revenue",positive
BMO’s Belski ‘Humbled’ After Nailing Forecast for Canada Stocks,neutral
"Liquidity Services EPS misses by $0.03, misses on revenue",negative
Nike gets into the medical footwear game,neutral
Watchdog Questions $6.7 Billion in Medicare Payments,neutral
"Wells Fargo downgrades Netflix: 'If content is king, then cash is queen' https://t.co/niUwYR5YUD",negative
$KGC - Kinross Gold (KGC) Presents At 23rd Annual Western Institutional Investor Conference - Slideshow.... https://t.co/3GHkbeYsRj,neutral
{Free} Dragonfly Capital Bull Scan for 11-25-19 https://t.co/kR9HI32JTA,neutral
Singapore Frees Listed Local Developers From Home-Sale Rule,neutral
Hedge Funds Prefer Analog Devices Over ABB Ltd (ABB),neutral
"Bags of rice, cellphone credit and mobile phones were just some of the freebies that politicians handed out ahead o… https://t.co/HljdUvzpe6",neutral
$NVT - nVent Electric acquires WBT Business https://t.co/bWZN82o86E,neutral
"Winnebago Industries, Inc. (WGO): Are Hedge Funds Right About This Stock?",neutral
Babcock International Group reports 1H results,neutral
Saudi energy minister defends US shale producers: 'They are creating jobs' https://t.co/IkKMglIMOd,neutral
$IHG $PK $MAR - Hotels stocks gain as peak pandemic seems near https://t.co/G4f03xNzNl,positive
Nestle India Accused Of Making Rs 90 Crore Undue Profit By Not Passing On GST Rate Cut Benefits,neutral
Dividend Champion And Contender Highlights: Week Of November 24. Read more and get updates on any stock!… https://t.co/BAXK4PiX8p,neutral
"The big LVMH-Tiffany deal is getting closer 
https://t.co/Vg8rD4SMSp",neutral
"Stocks rose slightly on Friday, after President Trump said the U.S. and China are “very close” to reaching a trade… https://t.co/DSRcoha7Er",positive
201 books to add to your reading list. https://t.co/6niTOmUik9,neutral
France Ready to Back Consolidation Among Car-Parts Suppliers,neutral
BP's downstream boss Erginbilgic to leave next month,neutral
First Choice declares $0.25 dividend,neutral
"Shareholders Are Loving SmartFinancial, Inc.'s (NASDAQ:SMBK) 0.9% Yield",positive
$WW heavy....,positive
Jamie Dimon expects fallout from the coronavirus pandemic to include a major economic downturn and stress similar t… https://t.co/OiLhueL7nv,negative
Crowd Media : CEO's AGM Presentation #CrowdMedia #Stock #MarketScreener https://t.co/jLVjlZKLqQ https://t.co/1rg9EX36y6,neutral
$VC - Visteon faces lawsuit on home turf https://t.co/TX8UiKK5ZJ,negative
Dem-Controlled School District Adopts SJW-Backed Busing Plan Despite Widespread Opposition https://t.co/HAt4uOjLlr,neutral
Stock Market Update: Energy sector down nearly 3% this week,negative
Becton Dickinson downgraded to outperform from strong buy at Raymond James,negative
Pinduoduo's stock is the most active premarket with over 3 mln shares traded,positive
Oil resumes decline as investors monitor back-and-forth trade talks https://t.co/r4osnZxz0s,negative
Materials Up After Xi's Comments On Trade Relations -- Materials Roundup #economy #MarketScreener… https://t.co/SSSX4EEXJl,positive
"$ZFGN Holding nicely its EMA50. With more than $2 per share in cash, a run to +$1 is likely at this point.",positive
"The coronavirus will create an ""unprecedented decline in economic activity"" in emerging markets, says Alessandro Re… https://t.co/cgkMbpz6mU",negative
Associa Community Management Corporation Hires Pamela A. Wiles as Executive Vice President  https://t.co/SebHnVQy8G,neutral
Helicopter money is a valid tool for central bankers https://t.co/M0nfifXDoS,neutral
"XFL Players Who Kneel During the Anthem Will Face 'Consequences', Commissioner Says",neutral
The mother of an Israeli woman imprisoned in Russia on drug-smuggling charges has asked Vladimir Putin to pardon her https://t.co/QiswIyFmzT,neutral
Home Depot cuts sales goal as online push not delivering as expected,negative
"$BL - BlackLine, Inc. 2019 Q3 - Results - Earnings Call Presentation. Follow this and any other stock on Seeking Al… https://t.co/IGN80h0kEh",neutral
Hedge Funds Are Selling AMERCO (UHAL),negative
Frozen Wells Fargo Bonuses Show a Peril for Bankers After Crisis,negative
$NIU (+10.9% pre) NIU Technologies Announces Q3 2019 Financial Results: NIU is Entering New Era of Stable Profitabi… https://t.co/YB1imDJjzn,positive
